TE_REAL
0.998467 0.003253
0.991271 0.002293
0.984070 0.001376
0.976864 0.000500
0.969652 -0.000333
0.962436 -0.001123
0.955215 -0.001871
0.947990 -0.002577
0.940761 -0.003241
0.933528 -0.003862
0.926291 -0.004442
0.919052 -0.004979
0.911809 -0.005475
0.904564 -0.005930
0.897316 -0.006343
0.890066 -0.006715
0.882814 -0.007046
0.875561 -0.007337
0.868306 -0.007587
0.861049 -0.007798
0.853792 -0.007970
0.846534 -0.008102
0.839275 -0.008196
0.832015 -0.008251
0.824756 -0.008269
0.817497 -0.008249
0.810237 -0.008193
0.802978 -0.008100
0.795720 -0.007971
0.788463 -0.007807
0.781206 -0.007609
0.773950 -0.007376
0.766695 -0.007109
0.759442 -0.006810
0.752190 -0.006478
0.744940 -0.006114
0.737691 -0.005719
0.730444 -0.005293
0.723199 -0.004838
0.715956 -0.004353
0.708714 -0.003840
0.701475 -0.003298
0.694238 -0.002730
0.687003 -0.002135
0.679770 -0.001513
0.672539 -0.000867
0.665311 -0.000196
0.658085 0.000499
0.650861 0.001217
0.643639 0.001957
0.636420 0.002720
0.629203 0.003503
0.621988 0.004307
0.614775 0.005130
0.607564 0.005972
0.600356 0.006832
0.593150 0.007710
0.585946 0.008604
0.578743 0.009515
0.571543 0.010441
0.564345 0.011381
0.557148 0.012335
0.549953 0.013303
0.542760 0.014283
0.535569 0.015275
0.528379 0.016278
0.521190 0.017291
0.514003 0.018314
0.506817 0.019346
0.499632 0.020386
0.492449 0.021433
0.485266 0.022488
0.478085 0.023549
0.470904 0.024615
0.463724 0.025686
0.456544 0.026761
0.449365 0.027840
0.442187 0.028922
0.435008 0.030006
0.427830 0.031091
0.420653 0.032177
0.413475 0.033264
0.406297 0.034350
0.399119 0.035435
0.391941 0.036519
0.384762 0.037600
0.377583 0.038679
0.370403 0.039754
0.363223 0.040824
0.356042 0.041891
0.348861 0.042952
0.341678 0.044007
0.334495 0.045056
0.327310 0.046097
0.320125 0.047132
0.312938 0.048158
0.305750 0.049176
0.298561 0.050185
0.291371 0.051184
0.284179 0.052173
0.276985 0.053151
0.269791 0.054119
0.262594 0.055075
0.255396 0.056018
0.248197 0.056950
0.240996 0.057868
0.233793 0.058774
0.226588 0.059665
0.219382 0.060543
0.212174 0.061406
0.204964 0.062254
