TE_REAL
0.999177 0.001344
0.992073 0.000016
0.984960 -0.001265
0.977840 -0.002501
0.970711 -0.003690
0.963575 -0.004832
0.956432 -0.005929
0.949282 -0.006978
0.942125 -0.007982
0.934961 -0.008939
0.927792 -0.009850
0.920617 -0.010714
0.913437 -0.011533
0.906251 -0.012306
0.899061 -0.013033
0.891866 -0.013715
0.884668 -0.014351
0.877465 -0.014943
0.870259 -0.015490
0.863049 -0.015993
0.855837 -0.016452
0.848622 -0.016867
0.841405 -0.017239
0.834185 -0.017569
0.826964 -0.017856
0.819742 -0.018101
0.812518 -0.018304
0.805292 -0.018467
0.798067 -0.018590
0.790840 -0.018672
0.783613 -0.018715
0.776387 -0.018719
0.769160 -0.018686
0.761933 -0.018614
0.754707 -0.018505
0.747482 -0.018360
0.740257 -0.018180
0.733033 -0.017964
0.725811 -0.017713
0.718590 -0.017429
0.711370 -0.017111
0.704151 -0.016761
0.696934 -0.016379
0.689719 -0.015966
0.682506 -0.015522
0.675295 -0.015048
0.668085 -0.014545
0.660878 -0.014014
0.653673 -0.013456
0.646470 -0.012870
0.639269 -0.012258
0.632070 -0.011620
0.624874 -0.010957
0.617679 -0.010271
0.610487 -0.009561
0.603298 -0.008828
0.596110 -0.008073
0.588925 -0.007297
0.581742 -0.006500
0.574562 -0.005684
0.567383 -0.004848
0.560207 -0.003994
0.553033 -0.003122
0.545861 -0.002233
0.538691 -0.001328
0.531523 -0.000408
0.524356 0.000528
0.517192 0.001478
0.510030 0.002441
0.502869 0.003417
0.495710 0.004405
0.488553 0.005405
0.481397 0.006416
0.474242 0.007436
0.467089 0.008467
0.459937 0.009505
0.452786 0.010552
0.445637 0.011607
0.438488 0.012668
0.431340 0.013736
0.424194 0.014809
0.417047 0.015887
0.409902 0.016969
0.402757 0.018055
0.395613 0.019144
0.388469 0.020236
0.381325 0.021329
0.374181 0.022424
0.367038 0.023519
0.359894 0.024614
0.352751 0.025709
0.345607 0.026803
0.338463 0.027895
0.331319 0.028986
0.324174 0.030073
0.317029 0.031157
0.309883 0.032238
0.302737 0.033314
0.295590 0.034386
0.288442 0.035452
0.281294 0.036512
0.274144 0.037566
0.266993 0.038614
0.259842 0.039654
0.252689 0.040687
0.245535 0.041712
0.238380 0.042728
0.231224 0.043736
0.224066 0.044734
0.216907 0.045722
0.209746 0.046701
0.202585 0.047669
0.195421 0.048626
0.188257 0.049572
0.181090 0.050507
0.173923 0.051430
0.166753 0.052340
0.159583 0.053239
0.152410 0.054125
0.145236 0.054998
0.138061 0.055858
0.130884 0.056705
0.123705 0.057539
0.116525 0.058359
0.109343 0.059165
0.102159 0.059957
0.094974 0.060735
0.087788 0.061499
0.080600 0.062248
0.073410 0.062984
0.066197 0.063377
0.058985 0.062984
0.051858 0.061808
0.044901 0.059863
0.038197 0.057172
0.031826 0.053767
0.025864 0.049688
0.020381 0.044983
0.015442 0.039710
0.011107 0.033930
0.007426 0.027712
0.004444 0.021130
0.002196 0.014263
0.000709 0.007191
0.000000 0.000000
0.000078 -0.007226
0.000942 -0.014400
0.002581 -0.021438
0.004977 -0.028255
0.008100 -0.034771
0.011914 -0.040908
0.016373 -0.046593
0.021424 -0.051759
0.027008 -0.056343
0.033057 -0.060293
0.039500 -0.063560
0.046260 -0.066106
0.053257 -0.067900
0.060407 -0.068927
0.067599 -0.069643
0.074792 -0.070339
0.081987 -0.071016
0.089184 -0.071674
0.096383 -0.072313
