fecha,label,n_perfiles,n_filas_ok,objetivo,metodo,mae,mae_std,r2,r2_std,imp_alpha,imp_forma,imp_reynolds,imp_chord_length_mm,imp_leading_edge_angle_deg,imp_leading_edge_thickness_level,imp_trailing_edge_angle_deg,imp_trailing_edge_thickness_mm,imp_te_upr_angle_deg,imp_te_lwr_angle_deg,imp_alpha_deg
2026-07-11T18:59:33,,142,2233,CL,Lineal,0.05626145183996815,0.0054427810169825576,0.9355343472124351,0.013686335175319012,0.8552911466636756,0.11921697115637589,0.025491882179948598,0.005675773033573903,0.01562554194761612,0.011546036367758028,0.011026389641181475,0.0064131069269337876,0.0459180687697881,0.023012054469524482,0.8552911466636756
2026-07-11T18:59:33,,142,2233,CD,RandomForest,0.0023004100611504737,0.0002962298064575881,0.7418447133335914,0.04018702018106817,0.40760265547484953,0.32233006422635996,0.27006728029879046,0.027279139800068325,0.05964736593093458,0.16273968963707072,0.021534218953595006,0.016900131227633286,0.014282626705253196,0.019946891971804843,0.40760265547484953
2026-07-11T18:59:33,,142,2233,LD,RandomForest,4.517420461132029,0.5945970844452619,0.7391342915147578,0.04429117802851318,0.3212992534376786,0.3077499164497847,0.37095083011253677,0.0285698202276314,0.029150112110213757,0.05014348997736937,0.02122875029629526,0.02406908925593267,0.05986870005058867,0.09471995453175357,0.3212992534376786
2026-07-11T22:04:30,random_only_n142,142,2233,CL,Lineal,0.05626145183996815,0.0054427810169825576,0.9355343472124351,0.013686335175319012,0.8552911466636756,0.11921697115637589,0.025491882179948598,0.005675773033573903,0.01562554194761612,0.011546036367758028,0.011026389641181475,0.0064131069269337876,0.0459180687697881,0.023012054469524482,0.8552911466636756
2026-07-11T22:04:30,random_only_n142,142,2233,CD,RandomForest,0.0023004100611504737,0.0002962298064575882,0.7418447133335915,0.04018702018106811,0.40760265547484953,0.32233006422635996,0.27006728029879046,0.027279139800068325,0.05964736593093458,0.16273968963707072,0.021534218953595006,0.016900131227633286,0.014282626705253196,0.019946891971804843,0.40760265547484953
2026-07-11T22:04:30,random_only_n142,142,2233,LD,RandomForest,4.517420461132029,0.5945970844452619,0.7391342915147578,0.04429117802851321,0.3212992534376786,0.3077499164497847,0.37095083011253677,0.0285698202276314,0.029150112110213757,0.05014348997736937,0.02122875029629526,0.02406908925593267,0.05986870005058867,0.09471995453175357,0.3212992534376786
2026-07-11T22:04:30,sobol_only_n142,142,2261,CL,Lineal,0.05736180736669487,0.006507514087221297,0.9395392314528703,0.01588058218879725,0.8622109984618722,0.12444825628540895,0.013340745252718843,0.004601196224453977,0.004176723104797306,0.013343956469957735,0.017074948026297845,0.012486787748305125,0.0547330838018815,0.018031560909715465,0.8622109984618722
2026-07-11T22:04:30,sobol_only_n142,142,2261,CD,RandomForest,0.0021854207374493923,0.0006378127319213827,0.72658182119715,0.12923259809110932,0.4091939677933112,0.3664317989284305,0.2243742332782584,0.05523206015504127,0.026945484313430246,0.17952538650743652,0.031224885853882754,0.016762660401287932,0.029613705059846628,0.02712761663750514,0.4091939677933112
2026-07-11T22:04:30,sobol_only_n142,142,2261,LD,RandomForest,4.17021651970455,0.4378083792308806,0.7863904871692868,0.05536570236072351,0.36958642119766216,0.2870191681621968,0.3433944106401409,0.02210355629255688,0.01844216344700074,0.042814649491975366,0.020467689909044722,0.028963555644951598,0.06720052824294001,0.08702702513372747,0.36958642119766216
2026-07-12T00:11:45,sobol_only_n300,300,4736,CL,Lineal,0.05878289179554428,0.002731023030335235,0.9370790993761157,0.00683839566297273,0.8492165627668042,0.13604246874645615,0.014740968486739692,0.00727170488137988,0.005350033796124642,0.012301610034807803,0.018995243149013533,0.012696318047519169,0.060050667875958766,0.01937689096165235,0.8492165627668042
2026-07-12T00:11:45,sobol_only_n300,300,4736,CD,RandomForest,0.0019066978377310945,0.0002899497077591611,0.776068385386294,0.07457233689668555,0.4172018370717922,0.34728176624709045,0.23551639668111723,0.043953293033485864,0.05129813558797184,0.16807634668424143,0.017491470407517442,0.010349387049463483,0.03847764990313714,0.01763548358127333,0.4172018370717922
2026-07-12T00:11:45,sobol_only_n300,300,4736,LD,RandomForest,3.8320188365252412,0.4113633761551268,0.7919780101229754,0.05020570640221936,0.34341583187763025,0.3305847834721857,0.3259993846501841,0.022170830110807543,0.0335254696773389,0.05038358405587164,0.02469487634984312,0.03174396655308039,0.08656450624955096,0.08150155047569305,0.34341583187763025
2026-07-12T01:30:00,sobol_only_n400,400,6326,CL,Lineal,0.062327984852754884,0.0017796167145566072,0.9287788863171574,0.004381410692217189,0.8349414211590879,0.14955919225778255,0.015499386583129595,0.007327856350873889,0.005535265222297462,0.013487665451643285,0.023691987831484615,0.012647213019111583,0.06713648631682295,0.01973271806554878,0.8349414211590879
2026-07-12T01:30:00,sobol_only_n400,400,6326,CD,RandomForest,0.001990990133395727,0.00019950950974597807,0.7499524867507202,0.06040976918871197,0.39936121797261265,0.36981026345347134,0.23082851857391595,0.05073489131012652,0.05238945242531449,0.17008849661059483,0.018847996192636458,0.011061015615307713,0.04147844031199077,0.025209970987500593,0.39936121797261265
2026-07-12T01:30:00,sobol_only_n400,400,6326,LD,RandomForest,3.8116916892268797,0.261533918007495,0.7837946290978357,0.05431620482075788,0.32871061169416343,0.34655433190649076,0.3247350563993457,0.025302967675279484,0.03003699838467504,0.06205207685019983,0.028790570024005854,0.030517450688653636,0.08801819161623516,0.08183607666744178,0.32871061169416343
