run_id,timestamp,source,chord_length_mm,leading_edge_angle_deg,leading_edge_thickness_level,trailing_edge_angle_deg,trailing_edge_thickness_mm,te_upr_angle_deg,te_lwr_angle_deg,alpha_deg,velocidad_kmh,reynolds,CL,CD,CM,LD,status,error_detail
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-4,180,521003,-0.8829,0.03386,0.1146,-26.075014766686355,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-6,180,521003,-1.0601,0.0451,0.1064,-23.50554323725056,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-8,180,521003,-1.1654,0.06646,0.0912,-17.5353596148059,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-10,180,521003,-0.9959,0.11673,0.0849,-8.531654244838517,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-12,180,521003,-0.966,0.16449,0.1109,-5.872697428415101,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,0,290,839393,-0.4404,0.01728,0.1231,-25.48611111111111,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-2,290,839393,-0.668,0.01912,0.1214,-34.93723849372385,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-4,290,839393,,,,,error_xfoil_no_converge,TE-real no converge a-4 v290
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-6,290,839393,-1.076,0.03986,0.1096,-26.99448068238836,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-8,290,839393,-1.0922,0.05944,0.0795,-18.37483176312248,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-10,290,839393,-0.8761,0.10624,0.0652,-8.246423192771084,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-12,290,839393,-0.7615,0.15205,0.0851,-5.008220979940809,ok,
0032_20260714_102315,2026-07-14T10:23:15,sobol_ext_low,153.961582,3.774787,0.218484,165.191983,3.180182,9.619476,-0.178447,-14,290,839393,-0.7508,0.17692,0.0937,-4.243725977843093,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,0,110,324117,,,,,error_xfoil_no_converge,TE-real no converge a0 v110
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-2,110,324117,-0.6472,0.02472,0.1177,-26.181229773462785,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-4,110,324117,,,,,error_xfoil_no_converge,TE-real no converge a-4 v110
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-6,110,324117,,,,,error_xfoil_no_converge,TE-real no converge a-6 v110
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-8,110,324117,,,,,error_xfoil_no_converge,TE-real no converge a-8 v110
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-10,110,324117,-1.0057,0.09469,0.0587,-10.62097370366459,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,0,180,530374,-0.4319,0.02059,0.1227,-20.97620203982516,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-2,180,530374,-0.6557,0.02165,0.1199,-30.28637413394919,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-4,180,530374,-0.8823,0.02529,0.1172,-34.88730723606168,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-6,180,530374,-1.0755,0.03901,0.108,-27.56985388361958,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-8,180,530374,-1.2013,0.05182,0.0923,-23.18216904670012,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-10,180,530374,-1.1452,0.0776,0.0609,-14.757731958762886,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-12,180,530374,-0.9963,0.12306,0.0689,-8.096050706972209,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,0,290,854491,-0.4475,0.01749,0.1257,-25.586049170954837,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-2,290,854491,-0.6638,0.01787,0.1216,-37.14605484051483,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-4,290,854491,-0.8856,0.02013,0.1185,-43.99403874813712,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-6,290,854491,-1.1019,0.02531,0.1146,-43.536151718688274,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-8,290,854491,-1.2961,0.02936,0.1079,-44.14509536784741,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-10,290,854491,-1.3842,0.04846,0.086,-28.56376392901362,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-12,290,854491,-1.4951,0.0528,0.069,-28.31628787878788,ok,
0016_20260714_001259,2026-07-14T00:12:59,sobol_ext_low,156.730911,5.797898,0.461832,162.240882,2.081564,14.807345,-0.319663,-14,290,854491,-0.7096,0.16558,0.0793,-4.285541732093248,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,0,110,329532,-0.5432,0.02497,0.1599,-21.754104925911093,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-2,110,329532,-0.7934,0.02716,0.1618,-29.212076583210603,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-4,110,329532,-1.0251,0.04023,0.157,-25.48098434004474,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-6,110,329532,-1.1974,0.05182,0.1469,-23.10690852952528,ok,
